iter	RMSE
0	28.60655631
1	27.95066909
2	27.31264784
3	26.71141623
4	26.12141603
5	25.55312225
6	25.02255653
7	24.49524095
8	23.98934161
9	23.4958245
10	23.03948107
11	22.58576015
12	22.14667689
13	21.71986281
14	21.30587966
15	20.91632519
16	20.52903166
17	20.17071315
18	19.80969634
19	19.46821125
20	19.14349219
21	18.81790679
22	18.50827012
23	18.21429579
24	17.92331921
25	17.66323322
26	17.39079624
27	17.13725444
28	16.89193623
29	16.65637019
30	16.42786206
31	16.20817868
32	16.00068979
33	15.79270796
34	15.60401542
35	15.42135959
36	15.24316245
37	15.0687563
38	14.90654039
39	14.75364423
40	14.60423709
41	14.46635831
42	14.33190695
43	14.19750099
44	14.06643863
45	13.94337279
46	13.82788379
47	13.71568029
48	13.60449384
49	13.50484144
50	13.40378947
51	13.31048864
52	13.21696433
53	13.12831468
54	13.04244961
55	12.96327152
56	12.89046599
57	12.81750033
58	12.75204511
59	12.68576468
60	12.6260224
61	12.56054402
62	12.50466282
63	12.44881548
64	12.39691068
65	12.34707793
66	12.30411377
67	12.26101745
68	12.21513765
69	12.17115402
70	12.12949595
71	12.0985539
72	12.06010403
73	12.02541708
74	11.98668803
75	11.95478846
76	11.91971489
77	11.88914209
78	11.856658
79	11.82705989
80	11.79801852
81	11.77148343
82	11.74301917
83	11.71751755
84	11.6918688
85	11.66984875
86	11.64959186
87	11.6293699
88	11.60932018
89	11.58509856
90	11.56282305
91	11.5437182
92	11.52474292
93	11.50627809
94	11.48582037
95	11.47228168
96	11.45662714
97	11.4406714
98	11.42728045
99	11.40960191
100	11.39664972
101	11.38277196
102	11.36555218
103	11.35295337
104	11.33928536
105	11.32673617
106	11.31323877
107	11.29815024
108	11.28390486
109	11.27384053
110	11.26519391
111	11.25564967
112	11.24576907
113	11.23217002
114	11.22225825
115	11.20946892
116	11.19881757
117	11.19041476
118	11.18343734
119	11.17489001
120	11.16344373
121	11.15582037
122	11.14679431
123	11.13940728
124	11.13166002
125	11.12017617
126	11.11245635
127	11.10318307
128	11.09576984
129	11.08875345
130	11.08128114
131	11.07323175
132	11.06474592
133	11.05848557
134	11.0515444
135	11.04324757
136	11.03738097
137	11.02963798
138	11.02251505
139	11.01638046
140	11.01081535
141	11.00280135
142	10.9950127
143	10.98843312
144	10.98359542
145	10.97695052
146	10.97179839
147	10.96617063
148	10.96138422
149	10.95477614
150	10.9499538
151	10.94582357
152	10.94031762
153	10.9347261
154	10.92873856
155	10.9238441
156	10.91798357
157	10.91386148
158	10.91014723
159	10.90450633
160	10.89894954
161	10.89334636
162	10.88942814
163	10.88375182
164	10.88026001
165	10.87381932
166	10.86859358
167	10.86573984
168	10.86331836
169	10.85819083
170	10.85369659
171	10.84829091
172	10.84325325
173	10.83889922
174	10.83444972
175	10.83012178
176	10.82602202
177	10.82141332
178	10.81756837
179	10.81416835
180	10.80980509
181	10.80618145
182	10.80248509
183	10.79895582
184	10.79509812
185	10.79077382
186	10.78724972
187	10.78445526
188	10.78132367
189	10.77646763
190	10.77261763
191	10.76900506
192	10.76618611
193	10.76340088
194	10.7596331
195	10.75508033
196	10.75193964
197	10.74905968
198	10.74470155
199	10.74177914
200	10.73905621
201	10.73525877
202	10.73035595
203	10.7258103
204	10.72315594
205	10.72034816
206	10.71738998
207	10.71383363
208	10.71166094
209	10.70882384
210	10.70572891
211	10.70285598
212	10.70032499
213	10.69717304
214	10.69441922
215	10.69184413
216	10.68945697
217	10.68522079
218	10.68269434
219	10.68023408
220	10.67726592
221	10.67285414
222	10.66992041
223	10.66707719
224	10.66348076
225	10.66103398
226	10.65848859
227	10.65595041
228	10.65271204
229	10.64950974
230	10.64710037
231	10.64438785
232	10.64216633
233	10.63936981
